contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Maturity,Spot
SPXW260331C06440000,2025-12-03 15:14:54+00:00,6440.0,570.47,605.1,611.0,0.0,0.0,4.0,18,0.40507720783233636,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06455000,2025-10-16 16:27:39+00:00,6455.0,508.3,416.4,418.9,0.0,0.0,,4,1.0000000000000003e-05,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06460000,2025-10-24 13:34:05+00:00,6460.0,565.25,521.5,529.0,0.0,0.0,10.0,20,0.3006089532089233,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06470000,2025-10-24 13:34:05+00:00,6470.0,557.35,513.7,520.9,0.0,0.0,10.0,54,0.29971250831604,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06480000,2025-12-24 15:21:24+00:00,6480.0,566.8,544.4,549.4,0.0,0.0,1.0,56,0.35528827701568594,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06515000,2025-12-31 20:36:01+00:00,6515.0,478.83,489.9,513.8,0.0,0.0,1.0,7,0.3390530878067017,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06535000,2025-11-10 15:19:57+00:00,6535.0,515.0,522.1,527.5,0.0,0.0,4.0,5,0.37823726627349846,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06545000,2025-12-01 14:20:54+00:00,6545.0,478.5,513.2,519.2,0.0,0.0,2.0,7,0.3759408414840698,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06555000,2025-10-17 18:52:04+00:00,6555.0,436.6,451.7,453.0,0.0,0.0,1.0,1,0.2909578656387329,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06565000,2025-12-31 20:36:01+00:00,6565.0,437.76,445.9,469.2,0.0,0.0,2.0,3,0.32456501247405994,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06615000,2025-11-19 14:32:42+00:00,6615.0,344.5,454.1,459.4,0.0,0.0,1.0,2,0.3564860799789428,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPXW260331C06675000,2026-01-05 12:46:16+00:00,6675.0,355.7,376.6,382.1,0.0,0.0,3.0,96,0.3042519526672363,True,REGULAR,USD,0.08487337440109514,6908.85986328125
SPX260417C01200000,2026-01-02 15:18:21+00:00,1200.0,5658.09,5726.5,5750.5,0.0,0.0,1.0,67,2.5296362442779534,True,REGULAR,USD,0.13141683778234087,6908.85986328125
SPXW260417C02200000,2026-01-07 20:38:41+00:00,2200.0,4727.8,4763.6,4775.1,0.0,0.0,,1,1.9232791921997072,True,REGULAR,USD,0.13141683778234087,6908.85986328125
SPXW260417C02600000,2026-01-07 20:44:00+00:00,2600.0,4333.95,4258.9,4279.7,0.0,0.0,7.0,22,1.0000000000000003e-05,True,REGULAR,USD,0.13141683778234087,6908.85986328125
SPX260417C03500000,2025-05-13 13:37:07+00:00,3500.0,2466.66,2551.0,2613.3,0.0,0.0,,2,1.0000000000000003e-05,True,REGULAR,USD,0.13141683778234087,6908.85986328125
SPX260417C03800000,2025-04-17 18:36:59+00:00,3800.0,1702.17,2252.5,2289.1,0.0,0.0,4.0,2,1.0000000000000003e-05,True,REGULAR,USD,0.13141683778234087,6908.85986328125
SPX260417C03850000,2025-04-17 18:51:04+00:00,3850.0,1645.48,2202.9,2242.4,0.0,0.0,8.0,3,1.0000000000000003e-05,True,REGULAR,USD,0.13141683778234087,6908.85986328125
SPX260417C03900000,2025-05-14 13:36:54+00:00,3900.0,2144.13,2199.5,2221.5,0.0,0.0,1.0,23,1.0000000000000003e-05,True,REGULAR,USD,0.13141683778234087,6908.85986328125
SPX260417C03950000,2025-10-06 16:32:30+00:00,3950.0,2868.7,2842.7,2866.7,0.0,0.0,4.0,45,1.0000000000000003e-05,True,REGULAR,USD,0.13141683778234087,6908.85986328125
SPX260417C04025000,2025-09-17 14:25:35+00:00,4025.0,2667.75,2736.7,2749.6,0.0,0.0,2.0,1,1.0000000000000003e-05,True,REGULAR,USD,0.13141683778234087,6908.85986328125
SPX260417C04050000,2025-04-17 18:36:23+00:00,4050.0,1486.5,2019.2,2058.2,0.0,0.0,40.0,20,1.0000000000000003e-05,True,REGULAR,USD,0.13141683778234087,6908.85986328125
SPX260417C04100000,2025-04-17 18:36:01+00:00,4100.0,1443.4,1975.5,2012.6,0.0,0.0,6.0,3,1.0000000000000003e-05,True,REGULAR,USD,0.13141683778234087,6908.85986328125
SPX260417C04200000,2025-04-01 19:01:46+00:00,4200.0,1590.0,1678.1,1689.1,0.0,0.0,,10,1.0000000000000003e-05,True,REGULAR,USD,0.13141683778234087,6908.85986328125
SPX260417C04300000,2025-10-24 19:59:44+00:00,4300.0,2568.92,2527.6,2535.1,0.0,0.0,1.0,1,1.0000000000000003e-05,True,REGULAR,USD,0.13141683778234087,6908.85986328125
SPX260417C04550000,2025-05-19 14:18:51+00:00,4550.0,1602.05,1652.8,1658.5,0.0,0.0,,1,1.0000000000000003e-05,True,REGULAR,USD,0.13141683778234087,6908.85986328125
SPX260417C04575000,2025-08-22 15:36:03+00:00,4575.0,2029.17,2166.6,2190.6,0.0,0.0,2.0,1,1.0000000000000003e-05,True,REGULAR,USD,0.13141683778234087,6908.85986328125
SPX260417C04825000,2025-09-17 14:25:35+00:00,4825.0,1905.45,1945.4,1969.4,0.0,0.0,,4,1.0000000000000003e-05,True,REGULAR,USD,0.13141683778234087,6908.85986328125
SPX260417C04875000,2025-07-14 18:37:24+00:00,4875.0,1584.93,1882.3,1906.3,0.0,0.0,,43,1.0000000000000003e-05,True,REGULAR,USD,0.13141683778234087,6908.85986328125
